TOPIC,TOPIC_DESCRIPTION,USER_QUERY,RESOLUTION,RESOLUTION_STATUS,RESOLUTION_STATUS_REASONING,USER_SENTIMENT,USER_SENTIMENT_REASONING,SESSION_ID,intent_accuracy,spam_check,suggestion
check booking status,User inquires about the booking status of a Royal Enfield Hunter 350 in Rebel Blue.,What should I do to find out the booking status of a Royal Enfield Hunter 350 in Rebel Blue?,"To check the status of your booking for the Royal Enfield Hunter 350 in Rebel Blue or to make a new booking, please visit the official Royal Enfield booking page. If you need to contact a dealer or check your booking in person, use the 'Find a Store' tool to locate your nearest Royal Enfield dealership.",resolution_attempted,"The bot provided a meaningful answer with relevant links to check the booking status, but the user did not respond to confirm if it was helpful.",neutral,"The user did not respond after the bot provided the information, indicating a neutral sentiment.",6970f31397ccde0001c2050a,accurate,not_spam,
introduction,User introduction and guidance on starting with Royal Enfield,What should I do if I'm new to Royal Enfield?,"Welcome to Royal Enfield! You can start your journey by exploring our legendary motorcycles, checking out the latest models, finding a dealer, or booking a test ride. Please choose an option below or type your question, and we'll assist you.",resolution_attempted,"The bot provided guidance on how to start with Royal Enfield, but the user did not respond to confirm if the information was helpful or if further assistance was needed.",neutral,"The user did not express any specific sentiment, positive or negative, towards the guidance provided.",6970f262efee53000137468c,accurate,not_spam,
royal enfield info,User is inquiring about the price and details of the Royal Enfield Classic 350 in Emerald Green.,What are the details and price of the Royal Enfield Classic 350 in Emerald Green?,"Please select whether you want to know the Chennai ex-showroom price, see all color options, check out the variants, or get an overview for the Royal Enfield Classic 350.",resolution_attempted,"The bot provided options for the user to obtain information about the Royal Enfield Classic 350, but the user did not confirm whether they received the information they wanted or continued the conversation.",neutral,The user repeatedly asked about the Classic 350 Emerald Green but did not express any sentiment regarding the information provided.,6970f18cf32ddb000111d826,accurate,not_spam,
customer support,User is seeking assistance with making a call or obtaining a phone number.,Can you assist me with making a call or provide me with a phone number?,"I can't assist with making calls or providing phone numbers. However, I can help you with anything related to Royal Enfield motorcycles, such as exploring models, booking a test ride, or finding a nearby dealership.",unresolved,The bot clearly stated it couldn't assist with the user's request for making a call or providing a phone number.,neutral,"The user responded with 'No thanks,' indicating neither satisfaction nor dissatisfaction.",6970f19fefee5300012bb314,accurate,not_spam,
warranty and manual inquiry,User wants to know the warranty details of their Royal Enfield Classic 350 motorcycle.,Can you provide the warranty information for my Royal Enfield Classic 350?,"Your Royal Enfield Classic 350 has a warranty of 36 months or 30,000 km, whichever comes first, covering manufacturing flaws. Ensure regular servicing at an Authorised Centre as per the owner's manual to maintain the warranty. Note that the warranty excludes normal wear and tear, consumables, and issues from improper use or unauthorized modifications. Emission-related components have specific warranty conditions.",resolution_attempted,"The bot provided the warranty details, but the user did not confirm whether the information was sufficient or if further clarification was needed.",neutral,The user did not express any sentiment after receiving the warranty information.,6970f18defee5300012990f8,accurate,not_spam,
whatsapp contact number,User inquiring about the WhatsApp contact number for Royal Enfield.,How can I contact Royal Enfield via WhatsApp?,,unresolved,"The bot did not provide the WhatsApp number, leaving the query unresolved.",neutral,The user did not express any sentiment as the query was not resolved.,6970f14b22321f0001af21ea,not_accurate,not_spam,Bot did not provide a meaningful response
latest offerings,User is inquiring about new offerings from Royal Enfield.,What's new from Royal Enfield?,"Royal Enfield offers a variety of motorcycles including the Bullet 350, Guerrilla 450, Classic 350, Himalayan 450, and Shotgun 650. Additionally, you can choose from a wide range of Genuine Motorcycle Accessories to enhance your ride's style, comfort, and protection.",resolution_attempted,"The bot provided detailed information about new offerings, but the user did not confirm if they needed further assistance or had any other queries.",neutral,The user did not express any sentiment after receiving the information about Royal Enfield's offerings.,6970f114f32ddb00011a6f1d,accurate,not_spam,
purchase inquiry classic 350,"User is exploring the features, pricing, and accessories of the Royal Enfield Classic 350 motorcycle.","Can you provide detailed information about the Royal Enfield Classic 350, including pricing and accessories?","The Chennai ex-showroom price for the Royal Enfield Classic 350 is ₹1.97 lakh. The bike is available in colors like Emerald, Stealth Black, and others. Genuine accessories include protective engine guards, touring seats, mirrors, and luggage solutions, which can be personalized through the Make It Yours (MIY) program.",resolution_attempted,The bot provided comprehensive information about the Classic 350 but the user did not confirm if they were satisfied or if they needed more assistance.,neutral,The user continued to ask questions and did not express any dissatisfaction or satisfaction with the information provided.,6970f0e18cd7e5000127f8a6,accurate,not_spam,
compare motorcycles,Explore Royal Enfield motorcycle range,How can I explore the range of Royal Enfield motorcycles?,Here are the available motorcycle options for you to explore. Which Royal Enfield motorcycle would you like to know more about?,resolution_attempted,"The bot provided options to explore the motorcycle range, but the user did not confirm if they found the information satisfactory or continued the conversation.",neutral,"The user did not express any sentiment towards the resolution provided, indicating a neutral stance.",6970f097efee530001301f55,accurate,not_spam,
super meteor 650 inquiry,User is inquiring about accessories for the Super Meteor 650 motorcycle.,What options are there for customizing the Super Meteor 650 with accessories?,"Explore the Royal Enfield accessories for your Super Meteor 650, including the latest add-ons, enhancements, and custom options. Use the Make It Yours (MIY) configurator to customize your motorcycle.",resolution_attempted,"The bot provided information about accessories and customization options, but the user did not respond to confirm if they needed further assistance or if their query was resolved.",neutral,The user did not express any sentiment after receiving the information about accessories.,6970f0880bcb6b00011e0deb,accurate,not_spam,
job inquiry,User is inquiring about a specific Royal Enfield part number.,How can I get assistance with Royal Enfield part number inquiries?,I couldn't find information related to part number 92729/15. Please contact your nearest Royal Enfield dealer for more information or visit the official Royal Enfield dealer locator for direct assistance.,resolution_attempted,"The bot provided a meaningful suggestion by directing the user to contact a dealer or use the dealer locator, but the user did not confirm if the resolution worked or continued the conversation.",neutral,"The user did not respond after the bot provided a suggestion, indicating a neutral sentiment.",6970f07897ccde00019ef350,accurate,not_spam,
scratch issue,Resolve issue of scratch on Royal Enfield Hunter 350 tank,How can I resolve a scratch issue on my Royal Enfield Hunter 350 tank?,"Please provide the ticket number for your existing complaint about the scratch on your Royal Enfield Hunter tank, so we can assist you further.",user_drop_off,The user did not provide the ticket number and stopped responding after the bot asked for it to proceed with the resolution.,neutral,The user did not express any positive or negative sentiment towards the resolution provided.,6970f06222321f0001308176,accurate,not_spam,
parcel delivery before 20th,User inquiring about home delivery options for a newly purchased Royal Enfield motorcycle.,What should I do if I want home delivery for my new Royal Enfield motorcycle?,Home delivery options for Royal Enfield motorcycles vary by location and dealership. Please select 'Book motorcycle' from the options to connect with your nearest Royal Enfield dealer and inquire about home delivery availability and process.,resolution_attempted,"The bot provided instructions to connect with a dealer for further information, but the user did not confirm if this resolved their query.",neutral,The user did not express any particular sentiment regarding the response provided by the bot.,6970eef3efee530001c2a6e1,accurate,not_spam,
explore guerrilla 450 details,"User is inquiring about the Royal Enfield Guerrilla 450, including its pricing, variants, and finance offers.","Can you provide information on the Royal Enfield Guerrilla 450, including its pricing and variants?","For finance offers on Royal Enfield motorcycles, we offer easy EMIs, low down payments, and flexible tenures. Regarding the Guerrilla 450, it is available in several colors and variants, with features like a Tripper TFT or Digi-Analog display. The ex-showroom price in Chennai ranges from ₹2,39,000 to ₹2,54,000 depending on specifications. For on-road pricing, please visit www.RoyalEnfield.com or contact your local dealer.",resolution_attempted,"The bot provided detailed information about the finance offers, features, variants, and ex-showroom pricing for the Guerrilla 450, but the user did not confirm if their query was fully resolved.",neutral,The user did not express any sentiment after receiving the information.,6970ece88cd7e500012afee4,accurate,not_spam,
royal enfield info,User is interacting with an AI-powered system of Royal Enfield for assistance.,How do I interact with the Royal Enfield AI system?,,user_drop_off,"The user stopped responding after the bot asked for their name, and no resolution was provided.",neutral,The user did not provide any feedback or response indicating their sentiment.,6970ecbef32ddb0001e60769,not_accurate,not_spam,Bot did not provide a meaningful response
order tracking maintenance guidance,User wants to track the delivery of their newly booked Royal Enfield vehicle.,How do I track the delivery of my newly booked Royal Enfield motorcycle?,"To track your delivery, download the Royal Enfield App and create your user profile. Register your motorcycle on the app to view updates. For more help, visit the Royal Enfield website or contact your dealership.",resolution_attempted,"The bot provided a detailed answer on how to track the delivery using the app, but the user did not confirm if they understood or needed further assistance.",neutral,The user asked questions about the process and did not express any dissatisfaction or satisfaction with the information provided.,6970ec770bcb6b000119ff7a,accurate,not_spam,
parts distribution inquiry,User is inquiring about the price of Royal Enfield spare parts.,Where can I get information about Royal Enfield spare parts pricing?,Please contact your nearest authorized Royal Enfield dealer or service center to get accurate and up-to-date pricing for the spare parts based on your motorcycle model and the specific part you need. Let me know if you need help finding a dealer or service center.,resolution_attempted,"The bot provided a meaningful solution by guiding the user to contact a dealer for pricing information, but the user did not respond to confirm if it resolved their query.",neutral,The user did not express any sentiment after receiving the information from the bot.,6970ec4f22321f00012fcc18,accurate,not_spam,
compare motorcycles,User is seeking information or photos of Royal Enfield motorcycles.,How can I find information about Royal Enfield motorcycles as a new owner?,"To view photos, details, or features of Royal Enfield motorcycles, please select 'Explore motorcycle range' from the options provided.",resolution_attempted,"The bot provided a way for the user to access photos and information, but the user did not confirm if they proceeded with the option or found it helpful.",neutral,The user did not express any sentiment after the resolution was provided.,6970eae622321f00015ce0a9,accurate,not_spam,
on-road price inquiry,User inquiring about the price of the Royal Enfield Bullet 350 motorcycle.,How much does the Royal Enfield Bullet 350 cost?,Here is the Ex-showroom Chennai price for the Royal Enfield Bullet 350.,resolution_attempted,"The bot provided the requested information, but the user did not confirm if the information was satisfactory or if there were further questions.",neutral,The user did not express any positive or negative sentiment regarding the information provided.,6970ea5b8cd7e50001febeb6,accurate,not_spam,
motorcycle rental haridwar,User wants to book a Royal Enfield motorcycle.,How can I book a Royal Enfield motorcycle?,"You can configure your Classic 650 to suit your unique preferences. Personalize and accessorize it with the color, protection, comfort, and style of your choice. Select from thousands of combinations when you book it in just a few easy clicks.",resolution_attempted,"The bot provided information on how to book and configure the motorcycle, but the user did not confirm if they proceeded with the booking.",neutral,The user did not express any particular sentiment after receiving the information about booking the motorcycle.,6970e9c0efee5300018d1fb0,accurate,not_spam,
on-road price inquiry,"User wants to know the on-road price of the Royal Enfield Classic 350 in full black color in Gopalganj, Bihar.","What is the on-road price for the Royal Enfield Classic 350 in Gopalganj, Bihar?","I can't provide the on-road price for Gopalganj, Bihar, but I can give you the Ex-showroom Chennai price for the Classic 350. Let me know if you want this information.",resolution_attempted,"The bot provided relevant information about the color options and offered to provide the Ex-showroom Chennai price, but the user did not respond to confirm or continue the conversation.",neutral,The user did not express any positive or negative sentiment regarding the information provided.,6970e98d0bcb6b0001b8f9ba,accurate,not_spam,
rides events complaint,"Explore Royal Enfield rides, community events, experiences, and rentals.","How can I explore Royal Enfield rides, community events, experiences, and rentals?","You can explore our community rides and events, which include epic journeys and weekend explorations, by visiting the 'Rides & Events' section on our official Royal Enfield website. For rentals, we offer flexible plans where you can rent a motorcycle by day, week, or month. Visit royalenfield.com/rentals for more details.",resolution_attempted,"The bot provided detailed information and directed the user to relevant sections of the website, but the user did not confirm whether the information was helpful or if they needed further assistance.",neutral,"The user did not express any sentiment after the bot provided the information, indicating a neutral sentiment.",6970e6de97ccde00012ed520,accurate,not_spam,
bike inquiry and financing options,Inquire about Royal Enfield bike rental options for a trip to Tawang.,How can I rent a Royal Enfield bike for a trip to Tawang?,"You can rent a Royal Enfield bike for your Tawang trip by choosing from various models such as Classic, Himalayan, or Interceptor. Rentals are available by day, week, or month with flexible plans. Daily rental fees vary by model, city, and season, starting around ₹1,200–₹1,800 for Classic 350 and ₹1,800–₹2,800 for Himalayan 450. Additional costs include security deposits, taxes, and optional add-ons. Long-term rentals offer discounted rates and include maintenance. For more details, visit royalenfield.com/rentals.",resolution_attempted,"The bot provided detailed and relevant information about bike rentals, including pricing and rental plans, but the user did not confirm whether their query was fully resolved or continue the conversation.",neutral,"The user asked several questions and received detailed responses, but did not express satisfaction or dissatisfaction with the information provided.",6970e6680bcb6b0001fbf33d,accurate,not_spam,
hunter 350 details,"User wants to purchase a Royal Enfield Hunter 350 motorcycle and seeks information about variants, color options, and pricing.",How can I purchase a Royal Enfield Hunter 350 in Kanpur?,"The Hunter 350 comes in two variants: Retro Hunter with spoke wheels and single-channel ABS, and Metro Hunter with cast alloy wheels, tubeless tyres, and dual-channel ABS. The ex-showroom price in Chennai starts at ₹1.50 lakh for Retro and goes up to ₹1.82 lakh for Metro. For exact on-road prices in Kanpur, please check the Royal Enfield site or contact a local dealer. Color options include shades like London Red, Rio White, Tokyo Black, and various Metro series colors like Dapper White, Rebel Black, and Factory Black for Retro.",resolution_attempted,"The bot provided detailed information and guidance on how to obtain specific pricing information, but the user did not confirm whether their query was fully resolved.",neutral,"The user asked questions about the motorcycle and received detailed information, but there was no indication of positive or negative sentiment from the user.",6970e655f32ddb000133007d,accurate,not_spam,
purchase inquiry classic 350,"Exploring the Royal Enfield Classic 350 motorcycle, including its variants, color options, and pricing.",Can you tell me about the Royal Enfield Classic 350 motorcycle?,"You can explore the variants and color options for the Royal Enfield Classic 350. The available colors are Emerald, Stealth Black, Gun Grey, Commando Sand, Medallion Bronze, Jodhpur Blue, Madras Red, Redditch Red, Halcyon Black. The Chennai ex-showroom price is ₹1.97 lakh. For precise pricing in your area, please visit www.RoyalEnfield.com.",resolution_attempted,"The bot provided the requested information about the Classic 350, including variants, colors, and pricing, but the user did not confirm if the information was satisfactory or continue the conversation.",neutral,The user did not express any sentiment towards the resolution provided; they simply requested information and received it.,6970e3f40bcb6b00011689b8,accurate,not_spam,
existing owner assistance,New Royal Enfield owner seeking assistance,What should a new Royal Enfield owner do to get assistance?,You can write to us at support@royalenfield.com or call at 18002100008 and we will be happy to help you out.,resolution_attempted,"The bot provided the contact information for further assistance, but the user did not confirm if they would use it or if it resolved their query.",neutral,The user did not express any sentiment after receiving the information on how to get assistance.,6970e32a8cd7e500012617dd,accurate,not_spam,
input error,User is attempting to communicate but the input is not recognized as a name.,What should I do if the system doesn't recognize my input as a name?,,unresolved,The conversation did not progress to a point where a resolution could be attempted or provided.,neutral,The user did not express any sentiment or response after the bot's message.,6970e1aff32ddb00013d6705,not_accurate,not_spam,Bot did not provide a meaningful response
cancel booking,Cancel a Royal Enfield booking made via Instagram.,How do I cancel a Royal Enfield booking made on Instagram?,"To cancel your Royal Enfield booking, please log in to your account and navigate to the 'My Trips' section. There, you can find your bookings and cancel them by selecting the appropriate option. Please be aware that the registration amount is non-refundable unless the ride is cancelled or postponed by Royal Enfield.",resolution_attempted,"The bot provided a detailed and actionable resolution for cancelling the booking, but the user did not confirm if the issue was resolved.",neutral,"The user did not express any sentiment, positive or negative, towards the resolution provided by the bot.",6970de3222321f000139adfc,accurate,not_spam,
service booking and history,Royal Enfield service and maintenance inquiries,How can I manage my Royal Enfield motorcycle's service and maintenance?,"To find a service centre, visit the Royal Enfield service centre locator page and enter your location details. The locator will display the nearest service centres along with their contact information and operating hours.",resolution_attempted,"The bot provided a detailed resolution for locating a service centre, but the user did not confirm if the resolution was helpful or continue the conversation.",neutral,The user did not express any sentiment regarding the resolution provided.,6970db3a0bcb6b0001120871,accurate,not_spam,
handlebars pros cons,User inquires about ordering a black touring handlebar for Classic 350 motorcycle.,How can I order a black touring handlebar for my Classic 350?,"You can choose from a variety of Genuine Motorcycle Accessories for your Classic 350, including the touring handlebar. These accessories are factory-tested and branded by Royal Enfield to ensure a seamless fit and lasting performance. Options include protective engine guards, sumpguards, touring seats, passenger backrest, touring mirrors, aerovisor, and luggage solutions like panniers. Through the Make It Yours (MIY) program, you can personalize these accessories further.",resolution_attempted,The bot provided detailed information about the accessories but did not complete the ordering process or confirm the user's ability to order the specific handlebar.,neutral,The user did not express any sentiment towards the resolution provided by the bot.,6970da7af32ddb000114a6ca,accurate,not_spam,
introduction,User is new to Royal Enfield and is seeking introductory information.,What introductory information can you provide to a new Royal Enfield user?,"Welcome to Royal Enfield! You're about to experience a legacy of pure motorcycling, adventure, and timeless style. Please choose an option below or type your question for assistance.",resolution_attempted,"The bot provided a meaningful introduction and next steps, but the user did not respond to confirm if they needed further assistance.",neutral,"The user did not express any sentiment, positive or negative, in response to the bot's introduction.",6970d934efee53000128936a,accurate,not_spam,
royal enfield info,"User inquiring about Royal Enfield motorcycles, dealers, finance options, and related benefits.",How can I explore Royal Enfield motorcycles and their finance options?,"You can explore Royal Enfield motorcycles and find a nearby dealer by providing your location. For finance options, we offer easy EMIs, low down payments, flexible tenures, quick approvals, and minimal paperwork to make owning a motorcycle easier. Our finance partners help provide these offers to ensure a seamless experience.",resolution_attempted,"The agent provided comprehensive information about the user's queries, but the user did not confirm if their queries were resolved or express any feedback.",neutral,"The user did not express any specific sentiment, and the conversation ended without any explicit positive or negative feedback.",6970d7d097ccde0001178267,accurate,not_spam,
royal enfield info,User is interested in learning about the top model of Royal Enfield motorcycles.,What is the top model of Royal Enfield motorcycles?,"Please specify which Royal Enfield motorcycle you're interested in from the available options, which include new colors, features, and hoods.",user_drop_off,The user did not respond after the bot asked for specific information needed to provide a resolution.,neutral,The user did not express any sentiment after the bot's response.,6970d7d88cd7e500011b2d4a,accurate,not_spam,
road side assistance request,User inquires about Road Side Assistance and how to access it for their Royal Enfield motorcycle.,What is Road Side Assistance and how do I access it for my Royal Enfield motorcycle?,"For Road Side Assistance, please contact 1800 210 0007. This service is available 24/7 for any on-road emergencies or breakdowns with your Royal Enfield motorcycle.",resolution_attempted,"The bot provided the necessary contact information for Road Side Assistance, but the user's frustration suggests they may not have been fully satisfied or confirmed resolution.",negative,"The user expressed frustration and impatience, indicating dissatisfaction with the process of obtaining assistance.",6970d7490bcb6b00011576f8,accurate,not_spam,
purchase inquiry classic 350,User inquires about accessories for Royal Enfield Classic 350 motorcycle.,Can you tell me about the accessories for the Royal Enfield Classic 350?,"You can enhance your Royal Enfield Classic 350 with accessories like protective engine guards, sumpguards, touring seats, passenger backrests, touring mirrors, aerovisors, and luggage solutions like panniers. Additionally, through our Make It Yours (MIY) program, you can personalize these accessories further.",resolution_attempted,"The bot provided a comprehensive list of accessories and mentioned the personalization program, but the user did not confirm if the information was helpful or if they needed further assistance.",neutral,The user did not express any sentiment or provide feedback after receiving the information about the accessories.,6970d5f8f32ddb00011f943d,accurate,not_spam,
book test ride,User wants to book a test ride for a Royal Enfield motorcycle and locate a dealer.,How do I book a test ride for a Royal Enfield motorcycle and find the nearest dealer?,"Please share your location or 6-digit PIN code so I can find the nearest Royal Enfield dealers for you. Additionally, to proceed with booking a test ride for the Himalayan 450, kindly provide your email ID.",user_drop_off,The user stopped responding after the bot asked for a valid email address to proceed with the test ride booking.,neutral,The user did not express any particular sentiment as they were still in the process of providing required details.,6970d5e20bcb6b000132ef77,accurate,not_spam,
introduction,Introduction to Royal Enfield services and offerings,Can you introduce me to Royal Enfield?,"Welcome to Royal Enfield! You're about to experience a legacy of pure motorcycling, iconic design, and a vibrant community. Please choose an option below or type your question for further assistance.",resolution_attempted,"The bot provided a welcoming introduction and options for further exploration, but the user did not continue the conversation.",neutral,The user did not express any particular sentiment; they just engaged with the bot.,6970d56422321f00011b6905,accurate,not_spam,
provide name,user providing name for personalization,What should I do if the bot doesn't accept my name input?,,unresolved,The bot could not accept the user's name input and did not provide a resolution.,neutral,The user did not express any sentiment regarding the interaction.,6970d478f32ddb000123f4f1,not_accurate,not_spam,Bot did not provide a meaningful response
existing owner assistance,Assist existing Royal Enfield owner with available services and options,How can Royal Enfield assist an existing owner?,"Welcome back, fellow Royal Enfield rider! As an existing owner, you’re in the right place to explore everything from service bookings and maintenance tips to exclusive rides and community events.",resolution_attempted,"The bot provided options and information relevant to the user's status as an existing owner, but the user did not respond to confirm if further assistance was needed.",neutral,The user did not express any sentiment towards the resolution provided.,6970d2c78cd7e5000138cf0f,accurate,not_spam,
hunter 350 details,User is interested in Hunter 350 motorcycle accessories.,What accessories can I add to my Hunter 350 motorcycle?,Please check out the official range of accessories and customization options for your Royal Enfield Hunter 350. Make sure to use genuine accessories that are fully tested and approved to ensure optimal performance and maintain your warranty.,resolution_attempted,"The bot provided information about accessories for the Hunter 350, but the user did not respond to confirm if the information was helpful or continue the conversation.",neutral,The user did not express any sentiment after receiving the information about the accessories.,6970d1a597ccde0001127c4a,accurate,not_spam,
